geo_id,name,pop,pop_sqmi,med_income,pct_own,pct_rent,year,enviroscreen_tracts,sqmi,solar_pot,net_solar_pot,count
neighborhoods_243,ramona,4291,813.13593,106908,0.840595112,0.161530287,2010,0,5.277100472,25921530,-8888,833
neighborhoods_244,rancho dominguez,2297,592.5867145,81543.5,0.889018692,0.10864486,2010,1,3.87622595,364399987.5,-8888,532
neighborhoods_245,rancho palos verdes,40934,2107.415939,103720,0.831372294,0.203601378,2010,0,19.42378779,235876312.5,-8888,15592
neighborhoods_246,rancho park,4402,5033.116088,92576.5,0.73059867,0.408536585,2010,0,0.874607286,16033331.25,-8888,1460
neighborhoods_248,reseda,67824,7889.16732,58567,0.779567799,0.48393848,2010,5,8.597105024,200472795,-8888,15026
neighborhoods_249,ridge route,5322,12.27240059,73933,0.834302326,0.165697674,2010,0,433.6559878,12143313.75,-8888,-9999
neighborhoods_250,rolling hills,3317,634.8857969,140718,0.940049958,0.058284763,2010,0,5.224561671,12667421.25,-8888,1296
neighborhoods_252,rosemead,53445,7093.897679,49589.25,0.637697597,0.514496349,2010,6,7.533940073,200148161.3,-8888,10885
neighborhoods_253,rowland heights,45916,2389.038841,68837,1.01516928,0.333724168,2010,0,19.21944475,205666935,-8888,12197
neighborhoods_254,san dimas,32767,1433.712049,74445.25,0.814305247,0.272688429,2010,0,22.85465902,219241766.3,-8888,10768
neighborhoods_255,san fernando,23649,6743.60364,50948,0.625502681,0.455931635,2010,2,3.506878705,147692711.3,-8888,5211
neighborhoods_256,san gabriel,41045,6737.891413,60625.75,0.658678005,0.509393119,2010,2,6.091668369,154520636.3,-8888,9652
neighborhoods_257,san marino,13312,2404.714856,115060,0.971162579,0.092415985,2010,0,5.535791475,34142418.75,-8888,4778
neighborhoods_258,san pasqual,2027,5345.11993,86989,0.583610188,0.414174972,2010,0,0.379224419,4646006.25,-8888,736
neighborhoods_259,san pedro,79456,4545.547038,68391.5,0.673496997,0.566455487,2010,9,17.47996431,289292812.5,-8888,20321
neighborhoods_260,santa clarita,179318,2122.67687,90750.25,1.158143468,0.31758034,2010,0,84.47729495,1057528245,-8888,57737
neighborhoods_262,santa monica,89820,7185.594506,74101.75,0.459482465,0.716249574,2010,1,12.50000956,376808707.5,-8888,23440
neighborhoods_263,sawtelle,37068,9434.93562,65891,0.318519321,0.760121403,2010,0,3.928802643,149596372.5,-8888,7836
neighborhoods_265,shadow hills,13660,727.0767928,74167,0.800127578,0.199659792,2010,0,18.78756156,84438858.75,-8888,5790
neighborhoods_266,sherman oaks,65090,4861.122412,80822.25,0.65119703,0.570445526,2010,0,13.38991173,195477570,-8888,19710
neighborhoods_267,sierra madre,10941,2516.455279,99801.5,0.82535095,0.381296449,2010,0,4.347782411,26443961.25,-8888,4229
neighborhoods_269,silver lake,29822,7420.389344,57235.5,0.561139149,0.644051911,2010,3,4.018926584,47844086.25,-8888,7878
neighborhoods_271,southeast antelope valley,8665,30.4528928,69245.5,0.765436132,0.233910487,2010,0,284.5378289,91999863.75,-8888,-9999
neighborhoods_272,south el monte,20281,4743.487484,50107.75,0.712190851,0.539286496,2010,5,4.275546224,247868205,-8888,4550
neighborhoods_273,south gate,94680,8726.177963,43977.25,0.697927372,0.542822885,2010,16,10.85011106,340746423.8,-8888,16520
neighborhoods_274,south park,33207,16154.82578,30452.5,0.431880482,0.720120614,2010,8,2.055546773,57263493.75,-8888,4056
neighborhoods_275,south pasadena,25521,5107.911822,73944,0.567710334,0.541778717,2010,0,4.996366596,59557721.25,-8888,7086
neighborhoods_276,south san gabriel,8694,4195.651952,59286,0.722244172,0.277360727,2010,1,2.072145187,20726831.25,-8888,2387
neighborhoods_278,south whittier,54646,6984.531864,69988.25,0.909053328,0.362684305,2010,3,7.823860076,164617248.8,-8888,12470
neighborhoods_279,stevenson ranch,7627,1663.704769,108023,0.763210972,0.236789028,2010,0,4.584347021,85529538.75,-8888,5708
neighborhoods_280,studio city,36523,3956.317966,81381.75,0.660839544,0.554526523,2010,1,9.231563365,109765878.8,-8888,12018
neighborhoods_281,sunland,15790,2686.269909,62501.25,0.922902098,0.330594406,2010,0,5.878039265,51517867.5,-8888,5210
neighborhoods_282,sun valley,74293,5376.440585,46220.5,0.870191274,0.477433914,2010,18,13.81824998,466524401.3,-8888,14914
neighborhoods_284,sylmar,77176,4216.078702,61055,1.015144562,0.331956555,2010,4,18.30516114,419213362.5,-8888,16734
