geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap
cities_115,43498961,182698848.0000,7583.5,3.8697,res_total,2016,chino hills,NA,72078,2534.7380
cities_115,39263144,154717289.5000,7663,3.8370,single_family,2016,chino hills,NA,NA,NA
cities_115,0,567048.0000,NA,NA,uncat,2016,chino hills,NA,NA,NA
cities_116,NA,NA,NA,NA,agriculture,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,commercial,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,condo,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,industrial,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,institutional,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,multi_family,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,other,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,residential_other,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,residential_uncat,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,res_total,2016,colton,NA,52380,NA
cities_116,NA,NA,NA,NA,single_family,2016,colton,NA,NA,NA
cities_116,NA,NA,NA,NA,uncat,2016,colton,NA,NA,NA
cities_117,6356,masked,masked,masked,agriculture,2016,fontana,NA,NA,masked
cities_117,12750182,271250454.0000,57463.5,12.6654,commercial,2016,fontana,NA,NA,NA
cities_117,882404,10671305.5000,7027,5.6846,condo,2016,fontana,NA,NA,NA
cities_117,15479519,213732636.0000,75687,7.4104,industrial,2016,fontana,NA,NA,NA
cities_117,483513,masked,masked,masked,institutional,2016,fontana,NA,NA,masked
cities_117,5633590,44301485.0000,12667,6.4458,multi_family,2016,fontana,NA,NA,NA
cities_117,169231,masked,masked,masked,other,2016,fontana,NA,NA,masked
cities_117,1647112,15648999.0000,5012.5,NA,residential_other,2016,fontana,NA,NA,NA
cities_117,0,3218749.0000,NA,NA,residential_uncat,2016,fontana,NA,NA,NA
cities_117,79076171,399272498.1667,7779,4.5341,res_total,2016,fontana,NA,199630,2000.0626
cities_117,70913065,325431959.6667,7750,4.4724,single_family,2016,fontana,NA,NA,NA
cities_117,0,masked,masked,masked,uncat,2016,fontana,NA,NA,masked
cities_118,NA,NA,NA,NA,agriculture,2016,grand terrace,NA,NA,NA
cities_118,376357,masked,masked,masked,commercial,2016,grand terrace,NA,NA,masked
